step,price,balance,shares_held,portfolio,action,reward
274,210.08999633789065,19760.0,1411.5565823467455,316313.91721595323,1,-0.05028826826353717
275,213.4633331298828,19760.0,1411.5565823467455,321075.5729691622,1,0.010053576507536598
276,206.23666381835935,19760.0,1411.5565823467455,310874.720334038,1,-0.03677087730714378
277,203.76333618164065,19760.0,1411.5565823467455,307383.47842812765,1,-0.016230382136440638
278,211.8733367919922,19760.0,1411.5565823467455,318831.2031725055,1,0.03224248551977559
279,222.6433258056641,19760.0,1411.5565823467455,334033.65205655614,1,0.042681810101332
280,220.5833282470703,19760.0,1411.5565823467455,331125.8489431049,0,-0.008705120264226825
281,230.3500061035156,19760.0,1411.5565823467455,344912.0673590304,1,0.03663437695948124
282,230.5399932861328,19760.0,1411.5565823467455,345180.24501721526,0,0.0007775247188022655
283,223.6566619873047,19760.0,1411.5565823467455,335464.0334138811,0,-0.028148226161811684
284,227.93333435058597,19760.0,1411.5565823467455,341500.79843881115,1,0.01299526752092122
285,225.67333984375,19760.0,1411.5565823467455,338310.6883166194,1,-0.014341442646036335
286,233.9933319091797,19760.0,1411.5565823467455,350054.82788164937,0,0.03471406600680265
287,254.10667419433597,19760.0,1411.5565823467455,378445.94857725484,0,0.08110478254910453
288,244.07666015625,19760.0,1411.5565823467455,364288.0162407643,0,-0.03741071185916091
289,246.2833404541016,19760.0,1411.5565823467455,367402.8703403316,0,0.008550525849603054
290,246.5933380126953,19760.0,1411.5565823467455,367840.449434676,0,0.0011910061942060023
291,238.2100067138672,19760.0,1411.5565823467455,356006.9029578217,0,-0.03217032410394487
292,239.663330078125,19760.0,1411.5565823467455,358058.3511189181,0,0.005762383100025087
293,248.0399932861328,39720.0,1328.1061855193275,369143.44933948544,2,0.03085891545589375
294,239.89666748046875,39720.0,1328.1061855193275,358328.2479662839,0,-0.029298099133421854
295,243.13333129882807,39720.0,1328.1061855193275,362626.88120389346,0,0.011996356028325291
296,246.0666656494141,19720.0,1410.2013870850355,366723.55321419344,1,0.011197209949519832
297,234.913330078125,19720.0,1410.2013870850355,350995.1039209367,0,-0.04288911676221169
298,231.46665954589844,19720.0,1410.2013870850355,346134.6043555657,1,-0.01884777027108007
299,225.6666717529297,19720.0,1410.2013870850355,337955.45352484484,1,-0.028629971484500326
300,236.47999572753903,19720.0,1410.2013870850355,353204.41799283883,1,0.040121226211764394
301,228.3000030517578,19720.0,1410.2013870850355,341668.9809751067,1,-0.03765937918694429
302,224.5333404541016,19720.0,1410.2013870850355,336357.2281552106,1,-0.020546488313737447
303,223.64666748046875,19720.0,1410.2013870850355,335106.8406979027,1,-0.008717438938850169
304,221.17999267578125,19720.0,1410.2013870850355,331628.3324668447,1,-0.015380296098443026
305,224.1233367919922,19720.0,1410.2013870850355,335779.04042219394,1,0.007516143975015164
306,209.67999267578125,19720.0,1410.2013870850355,315411.0165153668,0,-0.06065900921396768
307,205.73333740234372,19720.0,1410.2013870850355,309845.43777441874,1,-0.02264547986445135
308,196.6300048828125,19720.0,1410.2013870850355,297007.9056282795,1,-0.046432051536242074
309,190.56333923339844,19720.0,1410.2013870850355,288452.68531449465,1,-0.03380468887078079
310,196.5800018310547,19720.0,1410.2013870850355,296937.39125533216,1,0.024414550020870004
311,192.27667236328125,19720.0,1410.2013870850355,290868.83007079415,1,-0.02543717417628862
312,192.6233367919922,19720.0,1410.2013870850355,291357.6967290153,1,-0.0033192882575207965
313,187.82000732421875,19720.0,1410.2013870850355,284584.0348509348,1,-0.028248611428928577
314,195.5933380126953,19720.0,1410.2013870850355,295545.9965700951,1,0.03351924344562111
315,193.6266632080078,19720.0,1410.2013870850355,292772.5890325796,1,-0.01438401321520769
